iter	MAE	RMSE
1595	0.5985519092	0.7872963604
1600	0.5985218618	0.787258272
1605	0.5984555939	0.7871819858
1610	0.5984213766	0.7871349849
1615	0.5983823762	0.7871010697
1620	0.5983499986	0.7870586088
1625	0.5983376525	0.7870281706
1630	0.5982897401	0.7869948223
1635	0.5982755954	0.7869743035
1640	0.5982283779	0.7869296019
1645	0.5981841448	0.7868924309
1650	0.5981484967	0.7868451529
1655	0.5981231505	0.7868097964
1660	0.5980555745	0.7867543556
1665	0.5980212345	0.7867167865
1670	0.5979752844	0.7866755001
1675	0.597962734	0.7866562463
1680	0.597956561	0.7866337698
1685	0.5978999001	0.7865874118
1690	0.597848431	0.7865277191
1695	0.5978000689	0.7864546889
1700	0.5977569805	0.7863918411
1705	0.5976949642	0.7863140671
1710	0.5976445581	0.7862530798
1715	0.5975939067	0.7862019675
1720	0.5975323809	0.7861192864
1725	0.5974864308	0.7860668133
1730	0.5974379052	0.78597603
1735	0.5974021344	0.7859266942
1740	0.5973870903	0.7859016741
1745	0.5973770336	0.7858803725
1750	0.597330225	0.7858251782
1755	0.5972985832	0.7857734397
1760	0.5972573752	0.7857335866
1765	0.5972426581	0.7857012759
1770	0.5971921702	0.7856280128
1775	0.5971527202	0.7855788373
1780	0.5970837133	0.7855126146
1785	0.597050518	0.7854762093
1790	0.5969947156	0.7854108368
1795	0.5969444321	0.7853552191
1800	0.5969064946	0.7852945999
1805	0.5968777963	0.7852344706
1810	0.5968029025	0.7851748573
1815	0.5967782104	0.7851360151
1820	0.596719342	0.7850836324
1825	0.5967072412	0.7850515554
1830	0.5966689358	0.7850027604
1835	0.5966521338	0.78497456
1840	0.596619797	0.78493576
1845	0.596570372	0.7848513048
1850	0.596547029	0.7848180463
1855	0.5965238087	0.7847842655
1860	0.5964944153	0.7847532702
1865	0.5964502231	0.7847066968
1870	0.5964312953	0.7846820806
1875	0.5963982635	0.7846271927
1880	0.5963580367	0.7845719624
1885	0.596337678	0.7845463779
1890	0.5963161338	0.7845085729
1895	0.596293404	0.7844794949
1900	0.5962705925	0.7844367357
1905	0.5962243154	0.7844144302
1910	0.596185642	0.7843593151
1915	0.596161972	0.7843354177
1920	0.5961461102	0.7843087049
1925	0.5961203553	0.7842850405
1930	0.5961054746	0.78425671
1935	0.5960735058	0.7842196469
1940	0.5960354457	0.7841816958
1945	0.5960197474	0.7841545607
1950	0.5960013102	0.7841364961
1955	0.5959130074	0.7840657198
1960	0.5958552019	0.7839944678
1965	0.5958233557	0.7839516561
1970	0.5957889749	0.7839210973
1975	0.5957412669	0.783858959
1980	0.5957116282	0.7838374715
1985	0.5957028388	0.783812489
1990	0.5956703385	0.7837650512
1995	0.595653005	0.7837424658
1999	0.5956384106	0.7837250177
